Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Queen (57),offbrood,Nursing,,STATE,0.276,128.174,127.898,,
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Worker 1 (23),broodmanipulate,Nursing,,STATE,0.276,228.665,228.389,,
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Worker 3 (36),offbrood,Nursing,,STATE,0.276,299.440,299.164,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Queen (57),offbrood,Nursing,,STATE,0.555,45.177,44.622,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 4 (18),broodmanipulate,Nursing,,STATE,0.555,45.002,44.447,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 5 (60),broodmanipulate,Nursing,,STATE,0.555,8.824,8.269,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 6 (72),broodmanipulate,Nursing,,STATE,0.555,186.696,186.141,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 3 (36),broodmanipulate,Nursing,,STATE,1.662,49.450,47.788,,
nest	QF07	20180814	5,2018-08-14 05:00:33,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180814_050218.avi,1185.120,25.0,Worker 5 (60),feedsbrood,Nursing,,POINT,1.854,1.854,NA,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 5 (60),offbrood,Nursing,,STATE,8.825,299.950,291.125,,
nest	QF07	20180814	5,2018-08-14 05:00:33,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180814_050218.avi,1185.120,25.0,Worker 5 (60),feedsbrood,Nursing,,POINT,14.406,14.406,NA,,
for	QF07	20180813	8,2018-08-13 08:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF07/05_forQF07_1_20180813_083408.avi,1730.280,25.0,Unknown,nectarforaging,Foraging,,STATE,18.104,59.970,41.866,,
nest	QF07	20180814	6,2018-08-14 06:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_060225.avi,1401.160,25.0,Worker 5 (60),feedsbrood,Nursing,,POINT,22.053,22.053,NA,,
