"","nestID","beeID","behav","timepoint","Caste","totCount"
"1","NF01","35","feedsbrood","early","worker",5
"2","NF01","6","feedsbrood","early","worker",2
"3","NF01","6","nectarforaging","early","worker",2
"4","NF01","13","nectarforaging","early","worker",2
"5","NF01","13","feedsbrood","early","worker",2
"6","NF01","82","nectarforaging","early","worker",2
"7","NF01","82","feedsbrood","early","worker",1
"8","NF02","5","feedsbrood","early","worker",6
"9","NF02","1","feedsbrood","early","worker",11
"10","NF02","77","feedsbrood","early","worker",3
"11","NF02","26","feedsbrood","early","worker",3
"12","NF03","14","nectarforaging","early","worker",3
"13","NF03","14","fillshoneypot","early","worker",1
"14","NF03","90","feedsbrood","early","worker",1
"15","NF03","14","feedsbrood","early","worker",1
"16","NF04","44","nectarforaging","early","worker",7
"17","NF04","61","pollenforaging","early","worker",2
"18","NF04","61","nectarforaging","early","worker",6
"19","NF04","74","pollenforaging","early","worker",1
"20","NF05","82","feedsbrood","early","worker",4
"21","NF05","46","nectarforaging","early","worker",5
"22","NF05","45","nectarforaging","early","worker",1
"23","NF06","8","nectarforaging","early","worker",2
"24","NF06","8","pollenforaging","early","worker",1
"25","NF06","8","feedsbrood","early","worker",1
"26","NF06","95","feedsbrood","early","worker",2
"27","NF07","52","feedsbrood","early","worker",1
"28","NF07","13","nectarforaging","early","worker",2
"29","NF07","13","fillshoneypot","early","worker",1
"30","NF07","26","nectarforaging","early","worker",4
"31","NF07","26","fillshoneypot","early","worker",2
"32","NF10","72","feedsbrood","early","worker",1
"33","NF11","7","feedsbrood","early","worker",1
"34","NF11","49","other","early","worker",1
"35","NF11","16","feedsbrood","early","worker",1
"36","NF11","20","feedsbrood","early","worker",1
"37","NT01","10","feedsbrood","early","worker",1
"38","NT02","5","feedsbrood","early","worker",5
"39","NT02","92","feedsbrood","early","worker",5
"40","NT02","93","nectarforaging","early","worker",9
"41","NT02","93","feedsbrood","early","worker",3
"42","NT02","93","pollenforaging","early","worker",7
"43","NT02","5","pollenforaging","early","worker",2
"44","NT03","33","nectarforaging","early","worker",24
"45","NT03","34","feedsbrood","early","worker",2
"46","NT03","98","feedsbrood","early","worker",1
"47","NT04","70","feedsbrood","early","worker",2
"48","NT04","49","feedsbrood","early","worker",2
"49","NT04","25","feedsbrood","early","worker",2
"50","NT04","70","nectarforaging","early","worker",2
"51","NT05","43","nectarforaging","early","worker",2
"52","NT05","42","feedsbrood","early","worker",1
"53","NT06","38","nectarforaging","early","worker",5
"54","NT06","38","fillshoneypot","early","worker",5
"55","NT06","13","feedsbrood","early","worker",3
"56","NT06","67","feedsbrood","early","worker",4
"57","NT06","13","other","early","worker",1
"58","NT10","18","nectarforaging","early","worker",6
"59","NT10","18","fillshoneypot","early","worker",1
"60","NT10","7","nectarforaging","early","worker",3
"61","NT10","7","feedsbrood","early","worker",1
"62","NT11","61","feedsbrood","early","worker",1
"63","NT11","35","nectarforaging","early","worker",14
"64","NT11","61","nectarforaging","early","worker",15
"65","NT11","71","feedsbrood","early","worker",1
"66","NT11","35","fillshoneypot","early","worker",1
"67","NT12","32","other","early","worker",1
"68","NT13","99","feedsbrood","early","worker",1
"69","NT13","56","feedsbrood","early","worker",2
"70","NT13","99","nectarforaging","early","worker",1
"71","NT15","51","nectarforaging","early","worker",1
"72","NT16","94","feedsbrood","early","worker",2
"73","QF02","75","nectarforaging","early","worker",23
"74","QF02","56","nectarforaging","early","worker",2
"75","QF02","13","nectarforaging","early","worker",5
"76","QF02","75","pollenforaging","early","worker",1
"77","QF03","84","feedsbrood","early","worker",1
"78","QF03","76","nectarforaging","early","worker",2
"79","QF03","11","nectarforaging","early","worker",6
"80","QF03","11","pollenforaging","early","worker",1
"81","QF03","11","other","early","worker",1
"82","QF03","77","nectarforaging","early","worker",1
"83","QF04","72","pollenforaging","early","worker",27
"84","QF04","72","nectarforaging","early","worker",13
"85","QF04","81","feedsbrood","early","worker",1
"86","QF04","96","nectarforaging","early","worker",7
"87","QF04","96","fillshoneypot","early","worker",1
"88","QF04","96","feedsbrood","early","worker",1
"89","QF04","81","pollenforaging","early","worker",2
"90","QF04","60","nectarforaging","early","worker",1
"91","QF04","72","feedsbrood","early","worker",1
"92","QF06","80","feedsbrood","early","worker",4
"93","QF06","35","nectarforaging","early","worker",8
"94","QF06","80","pollenforaging","early","worker",2
"95","QF06","6","nectarforaging","early","worker",3
"96","QF06","80","other","early","worker",1
"97","QF06","12","feedsbrood","early","worker",3
"98","QF06","6","other","early","worker",1
"99","QF06","12","end","early","worker",1
"100","QF07","18","broodmanipulate","early","worker",2
"101","QF07","60","broodmanipulate","early","worker",1
"102","QF07","72","broodmanipulate","early","worker",2
"103","QF07","36","broodmanipulate","early","worker",1
"104","QF07","60","offbrood","early","worker",1
"105","QF07","18","incubate","early","worker",1
"106","QF07","23","waxmanipulate","early","worker",2
"107","QF07","36","waxmanipulate","early","worker",1
"108","QF07","72","feedsbrood","early","worker",6
"109","QF07","36","offbrood","early","worker",2
"110","QF07","36","pollenforaging","early","worker",12
"111","QF07","18","offbrood","early","worker",2
"112","QF07","23","end","early","worker",2
"113","QF07","36","end","early","worker",2
"114","QF07","18","end","early","worker",2
"115","QF07","60","end","early","worker",2
"116","QF07","72","end","early","worker",2
"117","QF07","72","pollenforaging","early","worker",1
"118","QF07","23","broodmanipulate","early","worker",1
"119","QF07","60","feedsbrood","early","worker",6
"120","QF07","23","feedsbrood","early","worker",2
"121","QF07","72","offbrood","early","worker",2
"122","QF07","18","waxmanipulate","early","worker",1
"123","QF09","41","waxmanipulate","early","worker",1
"124","QF09","17","broodmanipulate","early","worker",1
"125","QF09","51","offbrood","early","worker",3
"126","QF09","31","offbrood","early","worker",1
"127","QF09","11","broodmanipulate","early","worker",1
"128","QF09","51","broodmanipulate","early","worker",2
"129","QF09","31","waxmanipulate","early","worker",1
"130","QF09","17","offbrood","early","worker",1
"131","QF09","41","end","early","worker",1
"132","QF09","17","end","early","worker",1
"133","QF09","51","end","early","worker",1
"134","QF09","31","end","early","worker",1
"135","QF09","11","end","early","worker",1
"136","QF09","11","laysegg","early","worker",1
"137","QF10","71","fillshoneypot","early","worker",2
"138","QF10","71","nectarforaging","early","worker",13
